phi	TadV	TadVdiss	TadP	TadPdiss
0.25	1077.973274	0.000000	1304.006255	0.000000
0.26	1103.466965	0.000000	1336.086009	0.000000
0.27	1128.627046	0.000000	1367.643808	0.000000
0.28	1153.466540	0.000000	1398.749779	0.000000
0.29	1177.988452	0.000000	1429.411937	0.000000
0.30	1202.189777	0.000000	1459.637295	0.000000
0.31	1226.105579	0.000000	1489.462920	0.000000
0.32	1249.710812	0.000000	1518.866774	0.000000
0.33	1273.041543	0.000000	1547.882917	0.000000
0.34	1296.099774	0.000000	1576.489310	0.000000
0.35	1318.862464	0.000000	1604.748066	0.000000
0.36	1341.362674	0.000000	1632.634140	0.000000
0.37	1363.603408	0.000000	1660.181593	0.000000
0.38	1385.588674	0.000000	1687.394434	0.000000
0.39	1407.350531	0.000000	1714.247616	0.000000
0.40	1428.833878	0.000000	1740.800247	0.000000
0.41	1450.099827	0.000000	1766.999231	0.000000
0.42	1471.122329	0.000000	1792.904677	0.000000
0.43	1491.932443	0.000000	1818.517587	0.000000
0.44	1512.504121	0.000000	1843.813917	0.000000
0.45	1532.868418	0.000000	1868.821719	0.000000
0.46	1553.026337	0.000000	1893.545000	0.000000
0.47	1572.952833	0.000000	1917.984762	0.000000
0.48	1592.683971	0.000000	1942.170058	0.000000
0.49	1612.229769	0.000000	1966.074839	0.000000
0.50	1631.555164	0.000000	1989.700109	0.000000
0.51	1650.684199	0.000000	2013.073919	0.000000
0.52	1669.645927	0.000000	2036.206286	0.000000
0.53	1688.384247	0.000000	2059.065152	0.000000
0.54	1706.987318	0.000000	2081.707622	0.000000
0.55	1725.369986	0.000000	2104.106646	0.000000
0.56	1743.591359	0.000000	2126.264228	0.000000
0.57	1761.622383	0.000000	2148.182371	0.000000
0.58	1779.493113	0.000000	2169.887123	0.000000
0.59	1797.204552	0.000000	2191.381490	0.000000
0.60	1814.728647	0.000000	2212.638423	0.000000
0.61	1832.095455	0.000000	2233.685971	0.000000
0.62	1849.305976	0.000000	2254.525139	0.000000
0.63	1866.358207	0.000000	2275.156926	0.000000
0.64	1883.229107	0.000000	2295.582335	0.000000
0.65	1899.972773	0.000000	2315.801367	0.000000
0.66	1916.561155	0.000000	2335.842071	0.000000
0.67	1932.996256	0.000000	2355.650350	0.000000
0.68	1949.277074	0.000000	2375.309356	0.000000
0.69	1965.406615	0.000000	2394.764989	0.000000
