phi	TadV	TadVdiss	TadP	TadPdiss
0.25	1063.165152	0.000000	1285.810930	0.000000
0.26	1087.991622	0.000000	1317.051147	0.000000
0.27	1112.452422	0.000000	1347.772413	0.000000
0.28	1136.612672	0.000000	1378.042854	0.000000
0.29	1160.418272	0.000000	1407.842432	0.000000
0.30	1183.935344	0.000000	1437.178160	0.000000
0.31	1207.126819	0.000000	1466.115159	0.000000
0.32	1230.005722	0.000000	1494.631387	0.000000
0.33	1252.627154	0.000000	1522.733856	0.000000
0.34	1274.920985	0.000000	1550.426576	0.000000
0.35	1296.978383	0.000000	1577.772660	0.000000
0.36	1318.716196	0.000000	1604.719013	0.000000
0.37	1340.225591	0.000000	1631.327747	0.000000
0.38	1361.451466	0.000000	1657.573817	0.000000
0.39	1382.442912	0.000000	1683.490283	0.000000
0.40	1403.180894	0.000000	1709.050096	0.000000
0.41	1423.662406	0.000000	1734.314368	0.000000
0.42	1443.929526	0.000000	1759.227998	0.000000
0.43	1463.927151	0.000000	1783.852097	0.000000
0.44	1483.729419	0.000000	1808.158614	0.000000
0.45	1503.299262	0.000000	1832.151558	0.000000
0.46	1522.647699	0.000000	1855.888031	0.000000
0.47	1541.793765	0.000000	1879.313936	0.000000
0.48	1560.709409	0.000000	1902.458325	0.000000
0.49	1579.425688	0.000000	1925.352256	0.000000
0.50	1597.944606	0.000000	1947.939625	0.000000
0.51	1616.267164	0.000000	1970.306590	0.000000
0.52	1634.395365	0.000000	1992.368997	0.000000
0.53	1652.329211	0.000000	2014.213005	0.000000
0.54	1670.070705	0.000000	2035.789522	0.000000
0.55	1687.648900	0.000000	2057.151647	0.000000
0.56	1705.037748	0.000000	2078.244279	0.000000
0.57	1722.237249	0.000000	2099.124521	0.000000
0.58	1739.277458	0.000000	2119.766327	0.000000
0.59	1756.130324	0.000000	2140.168694	0.000000
0.60	1772.817888	0.000000	2160.362679	0.000000
0.61	1789.335139	0.000000	2180.347281	0.000000
0.62	1805.688090	0.000000	2200.123502	0.000000
0.63	1821.884754	0.000000	2219.665293	0.000000
0.64	1837.927136	0.000000	2239.028757	0.000000
0.65	1853.805217	0.000000	2258.157792	0.000000
0.66	1869.522002	0.000000	2277.109502	0.000000
0.67	1885.102538	0.000000	2295.856838	0.000000
0.68	1900.530795	0.000000	2314.427851	0.000000
0.69	1915.807775	0.000000	2332.795491	0.000000
0.70	1930.938487	0.000000	2350.959759	0.000000
0.71	1945.932949	0.000000	2368.976758	0.000000
0.72	1960.783148	0.000000	2386.792387	0.000000
0.73	1975.507115	0.000000	2404.433697	0.000000
0.74	1990.087819	0.000000	2421.892674	0.000000
0.75	2004.515243	0.000000	2439.187349	0.000000
0.76	2018.824451	0.000000	2456.313716	0.000000
0.77	2033.014440	0.000000	2473.266766	0.000000
0.78	2047.056157	0.000000	2490.044494	0.000000
0.79	2060.985669	0.000000	2506.676957	0.000000
0.80	2074.785945	0.000000	2523.150128	0.000000
0.81	2088.464998	0.000000	2539.456994	0.000000
0.82	2102.030844	0.000000	2555.631618	0.000000
0.83	2115.467453	0.000000	2571.635930	0.000000
0.84	2128.780837	0.000000	2587.495978	0.000000
0.85	2141.993035	0.000000	2603.189721	0.000000
0.86	2155.088019	0.000000	2618.766249	0.000000
